timestamp,battery_percent,cpu_usage_percent,memory_total,memory_available,memory_percent,disk_total,disk_used,disk_free,disk_percent,bytes_sent,bytes_recv,pid,app_name,app_cpu_percent,app_memory_percent,app_cpu_time,app_num_threads
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,0,System Idle Process,1008,4.85397543014717E-05,"pcputimes(user=0.0, system=458797.859375, children_user=0.0, children_system=0.0)",24
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,4,System,5.7,0.0238815591163241,"pcputimes(user=0.0, system=1071.8125, children_user=0.0, children_system=0.0)",354
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,140,,0,0.287015567184602,"pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0)",0
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,172,Registry,0,0.407806745763814,"pcputimes(user=0.0, system=1.71875, children_user=0.0, children_system=0.0)",4
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,640,python.exe,0,0.587476646310712,"pcputimes(user=0.6875, system=0.515625, children_user=0.0, children_system=0.0)",18
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,772,smss.exe,0,0.00689264511080898,"pcputimes(user=0.0, system=0.265625, children_user=0.0, children_system=0.0)",2
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,796,svchost.exe,0,0.101011228701363,"pcputimes(user=6.296875, system=7.25, children_user=0.0, children_system=0.0)",16
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1064,csrss.exe,0,0.0350214327285118,"pcputimes(user=0.359375, system=2.671875, children_user=0.0, children_system=0.0)",14
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1156,wininit.exe,0,0.0373270710578317,"pcputimes(user=0.015625, system=0.0, children_user=0.0, children_system=0.0)",2
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1164,svchost.exe,0,0.0699700558255714,"pcputimes(user=0.171875, system=0.34375, children_user=0.0, children_system=0.0)",9
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1232,WindowsPackageManagerServer.exe,0,0.164161449047577,"pcputimes(user=0.1875, system=0.25, children_user=0.0, children_system=0.0)",4
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1264,pythonw.exe,0,0.0600922158252219,"pcputimes(user=0.0625, system=0.046875, children_user=0.0, children_system=0.0)",1
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1268,services.exe,0.4,0.098487161477686,"pcputimes(user=12.578125, system=20.4375, children_user=0.0, children_system=0.0)",11
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1324,LsaIso.exe,0,0.021406031646949,"pcputimes(user=0.0, system=0.34375, children_user=0.0, children_system=0.0)",1
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1340,lsass.exe,0.1,0.183116223102302,"pcputimes(user=21.75, system=19.90625, children_user=0.0, children_system=0.0)",11
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1396,svchost.exe,0,0.0618881867343764,"pcputimes(user=0.4375, system=0.375, children_user=0.0, children_system=0.0)",4
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1404,svchost.exe,0,0.0584904039332734,"pcputimes(user=0.15625, system=0.34375, children_user=0.0, children_system=0.0)",1
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1456,svchost.exe,0.1,0.223743997452634,"pcputimes(user=14.4375, system=30.0, children_user=0.0, children_system=0.0)",14
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1484,fontdrvhost.exe,0,0.0168432947426107,"pcputimes(user=0.0, system=0.015625, children_user=0.0, children_system=0.0)",5
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1540,WUDFHost.exe,0,0.0620095361201301,"pcputimes(user=5.53125, system=2.5625, children_user=0.0, children_system=0.0)",13
2024-07-14T19:06:37.077,23,12.2,16876888064,1077313536,93.6,255529578496,255460036608,69541888,100,92450769,593040577,1616,svchost.exe,0,0.0466224340065635,"pcputimes(user=0.0, system=0.0625, children_user=0.0, children_system=0.0)",5
